year,dominant,number.eggs,body.length,age
2010,Y,627,10.82,19
2010,N,0,2.2,8
2010,N,0,2.7,9
2010,N,0,4.7,12
2010,N,0,3.6,10
2010,N,0,5.1,13
2010,Y,219,10.18,19
2010,Y,49,8.76,18
2010,N,0,2.35,9
2010,Y,69,8.76,20
2010,N,0,4,11
2010,Y,2,7.7,17
2010,N,0,4.5,14
2010,N,0,4.2,13
2010,N,0,7.98,17
2010,Y,11,7.1,17
2010,Y,292,8.49,18
2010,N,0,6.3,17
2010,N,0,6.8,16
2010,Y,250,8,18
2010,N,0,2,13
2010,Y,1,6.6,18
2010,N,0,3.98,13
2010,Y,35,9.59,23
2010,Y,139,7.6,21
2010,N,0,7,16
2010,Y,519,9.3,19
2010,N,0,4,12
2010,Y,257,7.8,19
2010,Y,423,11.15,20
2010,N,0,3.1,10
2010,N,0,5.4,15
2010,Y,125,7,21
2010,Y,56,4.8,17
2010,Y,37,7.6,21
2010,N,0,3.8,13
2010,N,0,4,12
2010,N,0,4.6,15
2010,N,0,2.8,10
2010,N,0,5,12
2010,N,0,6,16
2010,Y,15,7,14
2010,N,0,2.1,10
2010,Y,1,6.8,16
2010,N,0,6.8,17
2010,Y,72,7.98,19
2010,N,0,6.2,14
2010,N,0,1.45,7
2010,N,0,10.18,19
2010,N,0,4.3,12
2010,N,0,8.49,18
2010,Y,7,7,17
2010,Y,335,10.49,21
2010,Y,6,10.49,20
2010,N,0,5.4,17
2010,N,0,4.55,12
2010,Y,132,9.59,20
2010,Y,1,7.74,19
2010,Y,21,6.81,15
2010,Y,237,7.5,23
2010,N,0,1.3,9
2010,N,0,4.93,15
2010,N,0,4.93,14
2010,N,0,4.55,13
2010,N,0,4.55,15
2010,Y,3,4.93,14
2010,N,0,NA,10
2010,N,0,NA,8
2010,N,0,NA,10
2011,Y,919,10.82,20
2011,N,0,2.2,9
2011,N,0,2.7,10
2011,Y,1,4.7,13
2011,N,0,3.6,11
2011,Y,2,5.1,14
2011,Y,745,10.18,20
2011,Y,280,8.76,19
2011,N,0,2.35,10
2011,N,0,8.76,21
2011,N,0,4,12
2011,Y,133,7.7,18
2011,N,0,4.5,15
2011,N,0,4.2,14
2011,Y,54,7.98,18
2011,Y,115,7.1,18
2011,Y,701,8.49,19
2011,Y,6,6.3,18
2011,N,0,6.8,17
2011,Y,358,8,19
2011,N,0,2,14
2011,Y,66,6.6,19
2011,N,0,3.98,14
2011,Y,331,9.59,24
2011,Y,188,7.6,22
2011,N,0,7,17
2011,Y,554,9.3,20
2011,N,0,4,13
2011,Y,712,7.8,20
2011,Y,539,11.15,21
2011,N,0,3.1,11
2011,Y,26,5.4,16
2011,Y,546,7,22
2011,Y,264,4.8,18
2011,Y,419,7.6,22
2011,N,0,3.8,14
2011,Y,26,4,13
2011,Y,63,4.6,16
2011,N,0,2.8,11
2011,N,0,5,13
2011,Y,249,6,17
2011,Y,90,7,15
2011,N,0,2.1,11
2011,Y,230,6.8,17
2011,Y,25,6.8,18
2011,Y,806,7.98,20
2011,Y,76,6.2,15
2011,N,0,1.45,8
2011,N,0,10.18,20
2011,Y,3,4.3,13
2011,Y,13,8.49,19
2011,Y,27,7,18
2011,Y,663,10.49,22
2011,Y,68,10.49,21
2011,N,0,5.4,18
2011,Y,21,4.55,13
2011,Y,405,9.59,21
2011,Y,551,7.74,20
2011,Y,156,6.81,16
2011,Y,593,7.5,24
2011,N,0,1.3,10
2011,Y,65,4.93,16
2011,Y,100,4.93,15
2011,N,0,4.55,14
2011,N,0,4.55,16
2011,Y,259,4.93,15
2011,N,0,NA,11
2011,N,0,NA,9
2011,N,0,NA,11